id,addressline1,city,state,zipcode,latitude,longitude
"46-Patton-Dr,-Newport-News,-VA-23606",46 Patton Dr,Newport News,VA,23606,37.085732,-76.50531
"13500-County-Rd,-236,-Terrell,-TX-75160",13500 County Rd,Terrell,TX,75160,32.754337,-96.332695
"7336-Leghorn-St,-Savannah,-GA-31406",7336 Leghorn St,Savannah,GA,31406,31.991389,-81.074996
"2426-S-Diamond-Bar-Blvd,-Diamond-Bar,-CA-91765",2426 S Diamond Bar Blvd,Diamond Bar,CA,91765,33.980862,-117.830594
"902-N-William-Tell-Cir,-Payson,-AZ-85541",902 N William Tell Cir,Payson,AZ,85541,34.253653,-111.315809
"10130-Rose-Brook-Ln,-Apt-107,-Huntersville,-NC-28078",10130 Rose Brook Ln,Huntersville,NC,28078,35.413139,-80.859709
"21-Eureka-St,-Ste-A,-Sutter-Creek,-CA-95685",21 Eureka St,Sutter Creek,CA,95685,38.393175,-120.801977
"2820-King-St,-Augusta,-GA-30906",2820 King St,Augusta,GA,30906,33.420042,-82.03073
"12718-Westwood-Lakes-Blvd,-Tampa,-FL-33626",12718 Westwood Lakes Blvd,Tampa,FL,33626,28.077065,-82.645379
"1427-E-Nebraska-Ave,-Spokane,-WA-99208",1427 E Nebraska Ave,Spokane,WA,99208,47.709031,-117.388805
"12407-Wycliff-Ln,-Austin,-TX-78727",12407 Wycliff Ln,Austin,TX,78727,30.424125,-97.725346
"1223-Hillcliff-St,-Louisville,-OH-44641",1223 Hillcliff St,Louisville,OH,44641,40.828534,-81.240629
"15606-Elmcroft-Ave,-Norwalk,-CA-90650",15606 Elmcroft Ave,Norwalk,CA,90650,33.888698,-118.095332
"2690-Coral-Landings-Blvd,-Apt-133,-Palm-Harbor,-FL-34684",2690 Coral Landings Blvd,Palm Harbor,FL,34684,28.071013,-82.735689
"2810-Thomas-St,-Columbus,-GA-31906",2810 Thomas St,Columbus,GA,31906,32.463233,-84.950509
"155-S-Court-Ave,-Unit-2007,-Orlando,-FL-32801",155 S Court Ave,Orlando,FL,32801,28.540287,-81.378479
"337-W-Garwood-Cir,-Tallmadge,-OH-44278",337 W Garwood Cir,Tallmadge,OH,44278,41.11086,-81.448693
"1700-Beau-Dr,-Raymore,-MO-64083",1700 Beau Dr,Raymore,MO,64083,38.802387,-94.486106
"906-Neff-Rd,-Grosse-Pointe,-MI-48230",906 Neff Rd,Grosse Pointe,MI,48230,42.398278,-82.918217
"1134-Kenwyn-St,-Philadelphia,-PA-19124",1134 Kenwyn St,Philadelphia,PA,19124,40.025405,-75.085408
"8044-E-Naples-Ln,-Anaheim,-CA-92808",8044 E Naples Ln,Anaheim,CA,92808,33.849098,-117.737014
"2478-Talco-Hills-Dr,-Apt-D,-Tallahassee,-FL-32303",2478 Talco Hills Dr,Tallahassee,FL,32303,30.476737,-84.325432
"10403-Silverbrook-Dr,-Henrico,-VA-23233",10403 Silverbrook Dr,Henrico,VA,23233,37.626791,-77.603428
"5111-Arborwood-Dr,-League-City,-TX-77573",5111 Arborwood Dr,League City,TX,77573,29.485488,-95.145106
"1183-Hopkins-Ter-NE,-Atlanta,-GA-30324",1183 Hopkins Ter NE,Atlanta,GA,30324,33.821087,-84.341119
"23342-Los-Encinos-Way,-Woodland-Hills,-CA-91367",23342 Los Encinos Way,Woodland Hills,CA,91367,34.165463,-118.63579
"550-E-12th-St,-Pittsburg,-CA-94565",550 E 12th St,Pittsburg,CA,94565,38.023802,-121.878549
"215-Eagle-Claw-Dr,-Unit-3022,-Carolina-Shores,-NC-28467",215 Eagle Claw Dr,Carolina Shores,NC,28467,33.92901,-78.580899
"31620-Sun-Valley-Rd,-Leesburg,-FL-34748",31620 Sun Valley Rd,Leesburg,FL,34748,28.810044,-81.826647
"2552-Sw-Marshfield-Ct,-Port-Saint-Lucie,-FL-34953",2552 Sw Marshfield Ct,Port Saint Lucie,FL,34953,27.256065,-80.414776
"411-W-Fullerton-Pkwy,-Apt-908W,-Chicago,-IL-60614",411 W Fullerton Pkwy,Chicago,IL,60614,41.925266,-87.639644
"5419-W-Adams-Blvd,-Los-Angeles,-CA-90016",5419 W Adams Blvd,Los Angeles,CA,90016,34.032737,-118.360874
"3364-Solarino-Ln,-Henderson,-NV-89044",3364 Solarino Ln,Henderson,NV,89044,35.930984,-115.132033
"1841-Overbrook-Dr,-Jackson,-MS-39213",1841 Overbrook Dr,Jackson,MS,39213,32.352501,-90.207153
"396-Circuit-Ln,-Unit-A,-Newport-News,-VA-23608",396 Circuit Ln,Newport News,VA,23608,37.138633,-76.536827
"5501-Nw-2nd-Ave,-Apt-301,-Boca-Raton,-FL-33487",5501 Nw 2nd Ave,Boca Raton,FL,33487,26.39863,-80.084193
"117-E-5th-St,-Clifton,-NJ-07011",117 E 5th St,Clifton,NJ,07011,40.887559,-74.144127
"1435-India-St,-Unit-319,-San-Diego,-CA-92101",1435 India St,San Diego,CA,92101,32.720174,-117.167996
"901-N-Central-Ave,-Locust,-NC-28097",901 N Central Ave,Locust,NC,28097,35.28622,-80.427425
"1519-Arlington-Heights-Way,-Imperial,-MO-63052",1519 Arlington Heights Way,Imperial,MO,63052,38.414717,-90.435713
"1343-Valley-Rd,-Apt-C,-Wayne,-NJ-07470",1343 Valley Rd,Wayne,NJ,07470,40.956367,-74.226307
"14-Oak-Ridge-Rd,-Middletown,-NY-10940",14 Oak Ridge Rd,Middletown,NY,10940,41.463359,-74.427233
"39801-Nantucket-Rd,-Temecula,-CA-92591",39801 Nantucket Rd,Temecula,CA,92591,33.542714,-117.155355
"4020-Bessemer-Ave-SW,-Birmingham,-AL-35221",4020 Bessemer Ave SW,Birmingham,AL,35221,33.453112,-86.90031
"14-Belmont-Ave,-Unit-2,-Winchendon,-MA-01475",14 Belmont Ave,Winchendon,MA,01475,42.690144,-72.041214
"1914-Bellamy-Dr,-Champaign,-IL-61821",1914 Bellamy Dr,Champaign,IL,61821,40.091298,-88.261913
"9005-Burton-Way,-Los-Angeles,-CA-90048",9005 Burton Way,Los Angeles,CA,90048,34.07261,-118.388237
"120-Alcott-Pl,-Apt-3E,-Bronx,-NY-10475",120 Alcott Pl,Bronx,NY,10475,40.872,-73.830601
"4929-W-Decora-Way,-West-Jordan,-UT-84081",4929 W Decora Way,West Jordan,UT,84081,40.627326,-112.008554
"13100-Pembroke-Ln,-Leawood,-KS-66209",13100 Pembroke Ln,Leawood,KS,66209,38.889629,-94.613747
"1000-Aspen-Ln,-Mansfield,-TX-76063",1000 Aspen Ln,Mansfield,TX,76063,32.59187,-97.130505
"535-W-Briar-Pl,-Unit-953,-Chicago,-IL-60657",535 W Briar Pl,Chicago,IL,60657,41.938459,-87.643374
"52-Chandler-Gray-Rd,-Yarmouth,-MA-02673",52 Chandler Gray Rd,Yarmouth,MA,02673,41.67083,-70.250512
"7415-Margarita-Pl,-Colorado-Springs,-CO-80919",7415 Margarita Pl,Colorado Springs,CO,80919,38.941046,-104.82911
"1305-Kelsey-Ct,-Bel-Air,-MD-21015",1305 Kelsey Ct,Bel Air,MD,21015,39.535992,-76.314295
"12536-Ryerson-Ave,-Apt-29,-Downey,-CA-90242",12536 Ryerson Ave,Downey,CA,90242,33.930169,-118.162254
"7045-Stonycreek-Dr,-Oklahoma-City,-OK-73132",7045 Stonycreek Dr,Oklahoma City,OK,73132,35.543736,-97.632331
"9202-Zyle-Rd,-Austin,-TX-78737",9202 Zyle Rd,Austin,TX,78737,30.20583,-97.933917
"751-Pinellas-Bayway-S,-Unit-7,-Tierra-Verde,-FL-33715",751 Pinellas Bayway S,Tierra Verde,FL,33715,27.68022,-82.724476
"39768-Seal,-Newark,-CA-94560",39768 Seal,Newark,CA,94560,37.513995,-121.995832
"23106-E-Maxwell-Ave,-Liberty-Lake,-WA-99019",23106 E Maxwell Ave,Liberty Lake,WA,99019,47.668666,-117.094591
"2129-Hovsons-Blvd,-Toms-River,-NJ-08753",2129 Hovsons Blvd,Toms River,NJ,08753,40.019241,-74.157855
"380-Bailey-Ct,-Akron,-OH-44304",380 Bailey Ct,Akron,OH,44304,41.095536,-81.514443
